year,round,region_number,region_name,seed,score,team,team.1,score.1,seed.1,text_chunk
1988,1,3,West,3,63,Michigan,Boise St,58,14,"NCAA Tournament Game (1988), Round 1, West region. Michigan (Seed 3) 63 - Boise St (Seed 14) 58. ... Upset: no upset."
1988,1,3,West,4,54,UNLV,Southwest Missouri St,50,13,"NCAA Tournament Game (1988), Round 1, West region. UNLV (Seed 4) 54 - Southwest Missouri St (Seed 13) 50. ... Upset: no upset."
1988,1,3,West,5,102,Iowa,Florida St,98,12,"NCAA Tournament Game (1988), Round 1, West region. Iowa (Seed 5) 102 - Florida St (Seed 12) 98. ... Upset: no upset."
1988,1,3,West,6,62,Florida,St Johns,59,11,"NCAA Tournament Game (1988), Round 1, West region. Florida (Seed 6) 62 - St Johns (Seed 11) 59. ... Upset: no upset."
1988,1,3,West,7,115,Wyoming,Loyola Marymount,119,10,"NCAA Tournament Game (1988), Round 1, West region. Wyoming (Seed 7) 115 - Loyola Marymount (Seed 10) 119. ... Upset: UPSET."
1988,1,3,West,8,80,Seton Hall,UTEP,64,9,"NCAA Tournament Game (1988), Round 1, West region. Seton Hall (Seed 8) 80 - UTEP (Seed 9) 64. ... Upset: no upset."
1988,1,4,Southeast,1,94,Oklahoma,Chattanooga,66,16,"NCAA Tournament Game (1988), Round 1, Southeast region. Oklahoma (Seed 1) 94 - Chattanooga (Seed 16) 66. ... Upset: no upset."
1988,1,4,Southeast,2,99,Kentucky,Southern,84,15,"NCAA Tournament Game (1988), Round 1, Southeast region. Kentucky (Seed 2) 99 - Southern (Seed 15) 84. ... Upset: no upset."
1988,1,4,Southeast,3,81,Illinois,Texas San Antonio,72,14,"NCAA Tournament Game (1988), Round 1, Southeast region. Illinois (Seed 3) 81 - Texas San Antonio (Seed 14) 72. ... Upset: no upset."
1988,1,4,Southeast,4,98,BYU,Charlotte,92,13,"NCAA Tournament Game (1988), Round 1, Southeast region. BYU (Seed 4) 98 - Charlotte (Seed 13) 92. ... Upset: no upset."
1988,1,4,Southeast,5,70,Louisville,Oregon St,61,12,"NCAA Tournament Game (1988), Round 1, Southeast region. Louisville (Seed 5) 70 - Oregon St (Seed 12) 61. ... Upset: no upset."
1988,1,4,Southeast,6,82,Villanova,Arkansas,74,11,"NCAA Tournament Game (1988), Round 1, Southeast region. Villanova (Seed 6) 82 - Arkansas (Seed 11) 74. ... Upset: no upset."
1988,1,4,Southeast,7,92,Maryland,Santa Barbara,82,10,"NCAA Tournament Game (1988), Round 1, Southeast region. Maryland (Seed 7) 92 - Santa Barbara (Seed 10) 82. ... Upset: no upset."
1988,1,4,Southeast,8,90,Auburn,Bradley,86,9,"NCAA Tournament Game (1988), Round 1, Southeast region. Auburn (Seed 8) 90 - Bradley (Seed 9) 86. ... Upset: no upset."
1988,2,1,Midwest,1,100,Purdue,Memphis,73,9,"NCAA Tournament Game (1988), Round 2, Midwest region. Purdue (Seed 1) 100 - Memphis (Seed 9) 73. ... Upset: no upset."
1988,2,1,Midwest,2,74,Pittsburgh,Vanderbilt,80,7,"NCAA Tournament Game (1988), Round 2, Midwest region. Pittsburgh (Seed 2) 74 - Vanderbilt (Seed 7) 80. ... Upset: UPSET."
1988,2,1,Midwest,14,58,Murray St,Kansas,61,6,"NCAA Tournament Game (1988), Round 2, Midwest region. Murray St (Seed 14) 58 - Kansas (Seed 6) 61. ... Upset: no upset."
1988,2,1,Midwest,4,66,Kansas St,DePaul,58,5,"NCAA Tournament Game (1988), Round 2, Midwest region. Kansas St (Seed 4) 66 - DePaul (Seed 5) 58. ... Upset: no upset."
